2026-03-24 07:29:17 | INFO     | main | =======================================================
2026-03-26 09:25:53 | INFO     | WDM | There is no [linux64] chromedriver "146.0.7680.165" for browser google-chrome "146.0.7680" in cache
2026-03-26 09:25:53 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:25:53 | INFO     | WDM | WebDriver version 146.0.7680.165 selected
2026-03-26 09:25:53 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/146.0.7680.165/linux64/chromedriver-linux64.zip
2026-03-26 09:25:53 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/146.0.7680.165/linux64/chromedriver-linux64.zip
2026-03-26 09:25:53 | INFO     | WDM | Driver downloading response is 200
2026-03-26 09:25:53 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:25:53 | INFO     | WDM | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/146.0.7680.165]
2026-03-26 09:25:53 | WARNING  | scrapers.hdfc | HDFC: PDF URL discovery failed: 404 Client Error: Not Found for url: https://www.hdfcbank.com/personal/resources/rates-and-fees/forex-rates
2026-03-26 09:25:53 | WARNING  | scrapers.hdfc | HDFC: using fallback PDF URL.
2026-03-26 09:25:53 | INFO     | scrapers.hdfc | HDFC fetch attempt 1/3 — URL: https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=%2FPersonal%2FHome%2Fcontent%2Frates.pdf
2026-03-26 09:25:54 | ERROR    | scrapers.icici | ICICI attempt 1 HTTP 404
2026-03-26 09:25:54 | INFO     | scrapers.icici | Retrying ICICI in 2s …
2026-03-26 09:25:55 | INFO     | scrapers.hdfc | HDFC: USD Cash Buying = 94.2400
2026-03-26 09:25:55 | INFO     | main | ✓ HDFC   → 1 record(s)
2026-03-26 09:25:56 | INFO     | scrapers.icici | ICICI fetch attempt 2/3 …
2026-03-26 09:25:58 | ERROR    | scrapers.icici | ICICI attempt 2 HTTP 404
2026-03-26 09:25:58 | INFO     | scrapers.icici | Retrying ICICI in 4s …
2026-03-26 09:26:02 | INFO     | scrapers.icici | ICICI fetch attempt 3/3 …
2026-03-26 09:26:03 | ERROR    | scrapers.icici | ICICI attempt 3 HTTP 404
2026-03-26 09:26:03 | ERROR    | scrapers.icici | ICICI: all 3 attempts exhausted.
2026-03-26 09:26:03 | WARNING  | main | ✗ ICICI  → 0 records (scraper returned empty)
2026-03-26 09:26:10 | INFO     | scrapers.sbi | SBI: fetched 4 slab(s).
2026-03-26 09:26:10 | INFO     | main | ✓ SBI    → 4 record(s)
2026-03-26 09:26:10 | INFO     | main | 
───────────────────────────────────────────────────────
2026-03-26 09:26:10 | INFO     | main |   BANK     SLAB / TYPE            USD → INR
2026-03-26 09:26:10 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-26 09:26:10 | INFO     | main |   HDFC     Cash Buying            ₹ 94.2400
2026-03-26 09:26:10 | INFO     | main |   SBI      $2,500 to less than $5,000 ₹ 93.2400
2026-03-26 09:26:10 | INFO     | main |   SBI      $25,000 to less than $100,000 ₹ 93.4500
2026-03-26 09:26:10 | INFO     | main |   SBI      $5,000 to less than $25,000 ₹ 93.3400
2026-03-26 09:26:10 | INFO     | main |   SBI      less than $2,500       ₹ 93.2400
2026-03-26 09:26:10 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-26 09:26:10 | INFO     | storage | Daily Excel saved → data/2026/forex_rates_2026-03-26.xlsx  (5 rows)
2026-03-26 09:26:10 | INFO     | storage | Master CSV updated → all_rates_history.csv  (+5 new rows, 10 total)
2026-03-26 09:26:10 | WARNING  | main | ⚠️  Partial failure — these banks returned no data: ICICI
2026-03-26 09:28:59 | INFO     | main | =======================================================
2026-03-26 09:28:59 | INFO     | main |   Forex Rate Archiver  |  2026-03-26
2026-03-26 09:28:59 | INFO     | main |   Banks: SBI, HDFC, ICICI
2026-03-26 09:28:59 | INFO     | main | =======================================================
2026-03-26 09:28:59 | INFO     | scrapers.sbi | SBI fetch attempt 1/3 …
2026-03-26 09:28:59 | INFO     | WDM | ====== WebDriver manager ======
2026-03-26 09:28:59 | INFO     | scrapers.icici | ICICI fetch attempt 1/3 …
2026-03-26 09:29:00 | WARNING  | scrapers.hdfc | HDFC: PDF URL discovery failed: 404 Client Error: Not Found for url: https://www.hdfcbank.com/personal/resources/rates-and-fees/forex-rates
2026-03-26 09:29:00 | WARNING  | scrapers.hdfc | HDFC: using fallback PDF URL.
2026-03-26 09:29:00 | INFO     | scrapers.hdfc | HDFC fetch attempt 1/3 — URL: https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=%2FPersonal%2FHome%2Fcontent%2Frates.pdf
2026-03-26 09:29:00 | INFO     | scrapers.hdfc | HDFC: USD Cash Buying = 94.2400
2026-03-26 09:29:00 | INFO     | main | ✓ HDFC   → 1 record(s)
2026-03-26 09:29:01 | ERROR    | scrapers.icici | ICICI attempt 1 HTTP 404
2026-03-26 09:29:01 | INFO     | scrapers.icici | Retrying ICICI in 2s …
2026-03-26 09:29:03 | INFO     | scrapers.icici | ICICI fetch attempt 2/3 …
2026-03-26 09:29:04 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:29:04 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:29:04 | INFO     | WDM | There is no [linux64] chromedriver "146.0.7680.165" for browser google-chrome "146.0.7680" in cache
2026-03-26 09:29:04 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:29:04 | INFO     | WDM | WebDriver version 146.0.7680.165 selected
2026-03-26 09:29:04 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/146.0.7680.165/linux64/chromedriver-linux64.zip
2026-03-26 09:29:04 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/146.0.7680.165/linux64/chromedriver-linux64.zip
2026-03-26 09:29:04 | INFO     | WDM | Driver downloading response is 200
2026-03-26 09:29:04 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-26 09:29:04 | INFO     | WDM | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/146.0.7680.165]
2026-03-26 09:29:05 | ERROR    | scrapers.icici | ICICI attempt 2 HTTP 404
2026-03-26 09:29:05 | INFO     | scrapers.icici | Retrying ICICI in 4s …
2026-03-26 09:29:09 | INFO     | scrapers.icici | ICICI fetch attempt 3/3 …
2026-03-26 09:29:10 | ERROR    | scrapers.icici | ICICI attempt 3 HTTP 404
2026-03-26 09:29:10 | ERROR    | scrapers.icici | ICICI: all 3 attempts exhausted.
2026-03-26 09:29:10 | WARNING  | main | ✗ ICICI  → 0 records (scraper returned empty)
2026-03-26 09:29:33 | INFO     | scrapers.sbi | SBI: fetched 4 slab(s).
2026-03-26 09:29:33 | INFO     | main | ✓ SBI    → 4 record(s)
2026-03-26 09:29:33 | INFO     | main | 
───────────────────────────────────────────────────────
2026-03-26 09:29:33 | INFO     | main |   BANK     SLAB / TYPE            USD → INR
2026-03-26 09:29:33 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-26 09:29:33 | INFO     | main |   HDFC     Cash Buying            ₹ 94.2400
2026-03-26 09:29:33 | INFO     | main |   SBI      $2,500 to less than $5,000 ₹ 93.2400
2026-03-26 09:29:33 | INFO     | main |   SBI      $25,000 to less than $100,000 ₹ 93.4500
2026-03-26 09:29:33 | INFO     | main |   SBI      $5,000 to less than $25,000 ₹ 93.3400
2026-03-26 09:29:33 | INFO     | main |   SBI      less than $2,500       ₹ 93.2400
2026-03-26 09:29:33 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-26 09:29:33 | INFO     | storage | Daily Excel saved → data/2026/forex_rates_2026-03-26.xlsx  (5 rows)
2026-03-26 09:29:33 | INFO     | storage | Master CSV updated → all_rates_history.csv  (+0 new rows, 10 total)
2026-03-26 09:29:33 | WARNING  | main | ⚠️  Partial failure — these banks returned no data: ICICI
2026-03-27 05:43:43 | INFO     | main | =======================================================
2026-03-27 05:43:43 | INFO     | main |   Forex Rate Archiver  |  2026-03-27
2026-03-27 05:43:43 | INFO     | main |   Banks: SBI, HDFC, ICICI
2026-03-27 05:43:43 | INFO     | main | =======================================================
2026-03-27 05:43:43 | INFO     | scrapers.sbi | SBI fetch attempt 1/3 …
2026-03-27 05:43:43 | INFO     | WDM | ====== WebDriver manager ======
2026-03-27 05:43:43 | INFO     | scrapers.icici | ICICI fetch attempt 1/3 …
2026-03-27 05:43:44 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-27 05:43:44 | WARNING  | scrapers.hdfc | HDFC: PDF URL discovery failed: 404 Client Error: Not Found for url: https://www.hdfcbank.com/personal/resources/rates-and-fees/forex-rates
2026-03-27 05:43:44 | WARNING  | scrapers.hdfc | HDFC: using fallback PDF URL.
2026-03-27 05:43:44 | INFO     | scrapers.hdfc | HDFC fetch attempt 1/3 — URL: https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=%2FPersonal%2FHome%2Fcontent%2Frates.pdf
2026-03-27 05:43:44 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-27 05:43:44 | INFO     | WDM | There is no [linux64] chromedriver "145.0.7632.117" for browser google-chrome "145.0.7632" in cache
2026-03-27 05:43:44 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-27 05:43:45 | INFO     | WDM | WebDriver version 145.0.7632.117 selected
2026-03-27 05:43:45 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/linux64/chromedriver-linux64.zip
2026-03-27 05:43:45 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/linux64/chromedriver-linux64.zip
2026-03-27 05:43:45 | INFO     | WDM | Driver downloading response is 200
2026-03-27 05:43:45 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
2026-03-27 05:43:45 | INFO     | WDM | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/145.0.7632.117]
2026-03-27 05:43:46 | ERROR    | scrapers.icici | ICICI attempt 1 HTTP 404
2026-03-27 05:43:46 | INFO     | scrapers.icici | Retrying ICICI in 2s …
2026-03-27 05:43:46 | INFO     | scrapers.hdfc | HDFC: USD Cash Buying = 94.2400
2026-03-27 05:43:46 | INFO     | main | ✓ HDFC   → 1 record(s)
2026-03-27 05:43:48 | INFO     | scrapers.icici | ICICI fetch attempt 2/3 …
2026-03-27 05:43:48 | ERROR    | scrapers.icici | ICICI attempt 2 HTTP 404
2026-03-27 05:43:48 | INFO     | scrapers.icici | Retrying ICICI in 4s …
2026-03-27 05:43:52 | INFO     | scrapers.icici | ICICI fetch attempt 3/3 …
2026-03-27 05:43:53 | ERROR    | scrapers.icici | ICICI attempt 3 HTTP 404
2026-03-27 05:43:53 | ERROR    | scrapers.icici | ICICI: all 3 attempts exhausted.
2026-03-27 05:43:53 | WARNING  | main | ✗ ICICI  → 0 records (scraper returned empty)
2026-03-27 05:44:08 | INFO     | scrapers.sbi | SBI: fetched 4 slab(s).
2026-03-27 05:44:08 | INFO     | main | ✓ SBI    → 4 record(s)
2026-03-27 05:44:08 | INFO     | main | 
───────────────────────────────────────────────────────
2026-03-27 05:44:08 | INFO     | main |   BANK     SLAB / TYPE            USD → INR
2026-03-27 05:44:08 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-27 05:44:08 | INFO     | main |   HDFC     Cash Buying            ₹ 94.2400
2026-03-27 05:44:08 | INFO     | main |   SBI      $2,500 to less than $5,000 ₹ 93.2400
2026-03-27 05:44:08 | INFO     | main |   SBI      $25,000 to less than $100,000 ₹ 93.4500
2026-03-27 05:44:08 | INFO     | main |   SBI      $5,000 to less than $25,000 ₹ 93.3400
2026-03-27 05:44:08 | INFO     | main |   SBI      less than $2,500       ₹ 93.2400
2026-03-27 05:44:08 | INFO     | main | ───────────────────────────────────────────────────────
2026-03-27 05:44:08 | INFO     | storage | Daily Excel saved → data/2026/forex_rates_2026-03-27.xlsx  (5 rows)
2026-03-27 05:44:08 | INFO     | storage | Master CSV updated → all_rates_history.csv  (+5 new rows, 15 total)
2026-03-27 05:44:08 | WARNING  | main | ⚠️  Partial failure — these banks returned no data: ICICI
